product_clean,base_name,n_signals,total_cases
CENTRUM ULTRA WOMENS MULTIMINERAL MULTIVITAMINS TABLET,CENTRUM ULTRA,1,4
CENTRUM ULTRA WOMENS MULTIVITAMINS MULTIMINERALS TABLET,CENTRUM ULTRA,1,3
"CENTRUM WOMEN UNDER 50 (MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM WOMEN,5,49
CENTRUM WOMEN UNDER 50 MULTIMINERALS MULTIVITAMINS TABLET,CENTRUM WOMEN,2,12
"CENTRUM WOMEN UNDER 50 MULTIMINERALS, MULTIVITAMINS TABLET",CENTRUM WOMEN,2,8
CENTRUM WOMEN UNDER 50,CENTRUM WOMEN,1,6
CENTRUM WOMEN UNDER 50 MULTIMINERALS MULTIVITAMIN,CENTRUM WOMEN,1,3
"CITRACAL CALCIUM + D SLOW RELEASE 1200 (CALCIUM CARBONATE, CALCIUM CITRATE, VITAMIN D, MAGNESIUM HYDROXIDE) FILM-COATED TABLET",CITRACAL CALCIUM,3,20
CITRACAL CALCIUM + D SLOW RELEASE 1200,CITRACAL CALCIUM,2,26
CITRACAL CALCIUM + D3 GUMMIES,CITRACAL CALCIUM,2,12
CITRACAL CALCIUM + D SLOW RELEASE,CITRACAL CALCIUM,1,5
"CITRACAL CALCIUM + D3 GUMMIES (COLECALCIFEROL, TRICALCIUM PHOSPHATE)",CITRACAL CALCIUM,1,3
CITRACAL CALCIUM CITRATE,CITRACAL CALCIUM,1,6
"CITRACAL CALCIUM+ D SLOW RELEASE 1200 (CALCIUM CARBONATE, CALCIUM CITRATE, VITAMIN D, MAGNESIUM HYDROXIDE) FILM-COATED TABLET",CITRACAL CALCIUM,1,5
CITRACAL (CHOLECALCIFEROL + CALCIUM CITRATE) COATED TABLET,CITRACAL CHOLECALCIFEROL,3,16
CITRACAL (CHOLECALCIFEROL+ CALCIUM CITRATE) COATED TABLET,CITRACAL CHOLECALCIFEROL,1,5
CITRACAL CHOLECALCIFEROL + CALCIUM CITRATE COATED TABLET,CITRACAL CHOLECALCIFEROL,1,4
CITRACAL CHOLECALCIFEROL CALCIUM CITRATE COATED TABLET,CITRACAL CHOLECALCIFEROL,1,6
CITRACAL CHOLECALCIFEROL PLUS CALCIUM CITRATE COATED TABLET,CITRACAL CHOLECALCIFEROL,1,3
CITRACAL MAXIMUM (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,CITRACAL MAXIMUM,11,155
CITRACAL MAXIMUM,CITRACAL MAXIMUM,9,506
CITRACAL MAXIMUM (CHOLECALCIFEROL +CALCIUM CITRATE) FILM-COATED TABLET,CITRACAL MAXIMUM,4,30
CITRACAL MAXIMUM BAYER,CITRACAL MAXIMUM,4,46
CITRACAL MAXIMUM PLUS,CITRACAL MAXIMUM,4,43
CITRACAL MAXIMUM CHOLECALCIFEROL PLUS CALCIUM CITRATE FILM COATED TABLET,CITRACAL MAXIMUM,3,15
"CITRACAL, MAXIMUM, BAYER",CITRACAL MAXIMUM,3,15
CITRACAL MAXIMUM CHOLECALCIFEROL + CALCIUM CITRATE FILM COATED TABLET,CITRACAL MAXIMUM,2,11
CITRACAL MAXIMUM CHOLECALCIFEROL + CALCIUM CITRATE FILM-COATED TABLET,CITRACAL MAXIMUM,2,17
CITRACAL MAXIMUM CHOLECALCIFEROL CALCIUM CITRATE FILM COATED TABLET,CITRACAL MAXIMUM,2,21
CITRACAL MAXIMUM FILM-COATED TABLET,CITRACAL MAXIMUM,2,14
CITRACAL MAXIMUM ( CHOLECALCIFEROL+ CALCIUM CITRATE) FILM-COATED TABLET,CITRACAL MAXIMUM,1,3
CITRACAL MAXIMUM (CHOLECALCIFEROL + CALCIUM CITRATE),CITRACAL MAXIMUM,1,4
CITRACAL MAXIMUM (CHOLECALCIFEROL + CALCIUM CITRATE) FILM COATED TABLET,CITRACAL MAXIMUM,1,4
CITRACAL MAXIMUM CALCIUM CITRATE,CITRACAL MAXIMUM,1,5
CITRACAL MAXIMUM CAPLETS + D,CITRACAL MAXIMUM,1,3
CITRACAL MAXIMUM CHOLECALCIFEROL CALCIUM CITRATE,CITRACAL MAXIMUM,1,4
CITRACAL PETITES,CITRACAL PETITES,8,307
CITRACAL PETITES (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,CITRACAL PETITES,7,161
CITRACAL PETITES FILM-COATED TABLET,CITRACAL PETITES,4,19
CITRACAL PETITES (CHOLECALCIFEROL +CALCIUM CITRATE) FILM-COATED TABLET,CITRACAL PETITES,3,35
CITRACAL PETITES BAYER,CITRACAL PETITES,2,15
CITRACAL PETITES CHOLECALCIFEROL + CALCIUM CITRATE FILM-COATED TABLET,CITRACAL PETITES,2,16
CITRACAL PETITES CHOLECALCIFEROL CALCIUM CITRATE FILM COATED TABLET,CITRACAL PETITES,2,14
CITRACAL PETITES CHOLECALCIFEROL PLUS CALCIUM CITRATE FILM COATED TABLET,CITRACAL PETITES,2,14
CITRACAL PETITES (CALCIUM CITRATE),CITRACAL PETITES,1,3
CITRACAL PETITES (CHOLECALCIFEROL + CALCIUM CITRATE),CITRACAL PETITES,1,3
CITRACAL PETITES (CHOLECALCIFEROL + CALCIUM CITRATE) FILM COATED TABLET,CITRACAL PETITES,1,4
CITRACAL PETITES CHOLECALCIFEROL + CALCIUM CITRATE FILM COATED TABLET,CITRACAL PETITES,1,6
"CITRACAL, PETITES, BAYER",CITRACAL PETITES,1,4
CITRACAL PETITES(CHOLECALCIFEROL +CALCIUM CITRATE) FILM-COATED TABLET,CITRACAL PETITESCHOLECALCIFEROL,3,19
CITRACAL PETITES(CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,CITRACAL PETITESCHOLECALCIFEROL,1,4
CITRACAL PLUS MAGNESIUM,CITRACAL PLUS,2,9
"CITRACAL PLUS MAGNESIUM (CALCIUM CITRATE, VITAMIN D, MINERALS) FILM-COATED TABLET",CITRACAL PLUS,2,9
CITRACAL PLUS (CALCIUM CARBONATE + VITAMIN D),CITRACAL PLUS,1,3
"CITRACAL PLUS BONE DENSITY BUILDER (CALCIUM CARBONATE, CALCIUM CITRATE, MINERALS, GENESTEIN) FILM-COATED TABLET",CITRACAL PLUS,1,3
CITRACAL PLUS MAGNESIUM (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,CITRACAL PLUS,1,3
CITRACAL REGULAR,CITRACAL REGULAR,1,5
